,Title,Location,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Votes_total,Pct_1,Pct_2,Margin
22,Spokane,Spokane 3211,Lisa Brown,None,241,Nadine Woodward,None,88,329,73.3,26.7,46.6
23,Spokane,Spokane 3212,Lisa Brown,None,192,Nadine Woodward,None,104,296,64.9,35.1,29.8
24,Spokane,Spokane 3213,Lisa Brown,None,301,Nadine Woodward,None,130,431,69.8,30.2,39.6
25,Spokane,Spokane 3214,Lisa Brown,None,237,Nadine Woodward,None,132,369,64.2,35.8,28.4
26,Spokane,Spokane 3215,Lisa Brown,None,148,Nadine Woodward,None,70,218,67.9,32.1,35.8
27,Spokane,Spokane 3216,Lisa Brown,None,292,Nadine Woodward,None,180,472,61.9,38.1,23.8
28,Spokane,Spokane 3217,Lisa Brown,None,222,Nadine Woodward,None,183,405,54.8,45.2,9.6
29,Spokane,Spokane 3218,Lisa Brown,None,252,Nadine Woodward,None,149,401,62.8,37.2,25.6
30,Spokane,Spokane 3219,Lisa Brown,None,115,Nadine Woodward,None,62,177,65.0,35.0,30.0
31,Spokane,Spokane 3220,Lisa Brown,None,363,Nadine Woodward,None,265,628,57.8,42.2,15.6
32,Spokane,Spokane 3221,Lisa Brown,None,114,Nadine Woodward,None,101,215,53.0,47.0,6.0
33,Spokane,Spokane 3222,Lisa Brown,None,108,Nadine Woodward,None,107,215,50.2,49.8,0.4
34,Spokane,Spokane 3223,Lisa Brown,None,198,Nadine Woodward,None,59,257,77.0,23.0,54.0
35,Spokane,Spokane 3224,Lisa Brown,None,112,Nadine Woodward,None,103,215,52.1,47.9,4.2
36,Spokane,Spokane 3225,Lisa Brown,None,90,Nadine Woodward,None,112,202,44.6,55.4,-10.8
37,Spokane,Spokane 3226,Lisa Brown,None,95,Nadine Woodward,None,59,154,61.7,38.3,23.4
38,Spokane,Spokane 3227,Lisa Brown,None,181,Nadine Woodward,None,146,327,55.4,44.6,10.8
39,Spokane,Spokane 3228,Lisa Brown,None,183,Nadine Woodward,None,206,389,47.0,53.0,-6.0
40,Spokane,Spokane 3229,Lisa Brown,None,362,Nadine Woodward,None,127,489,74.0,26.0,48.0
